Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1877.13/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xa6f52dcb4df51b987cda03e1feb6c2ffdb11e15d188acfff35e919c8b3391428,12206885,1617988009,2021/4/9 17:06,0x3527a204a5260a0e36ca695312379370328e4e6c,,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,0,0,0,0.2760297,518.1436308,2066.55,,,0x60e06040
0x900529c6a6bcf3e650f959bceedcd04a9f8ee151948f59b0937fa7780044e5e0,12207049,1617989957,2021/4/9 17:39,0x286363c05ba757e8739d0f88ee677d3d98521428,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.5,0,938.565,0.01161508,21.80301512,2066.55,,,Create Bid
0x2a811fc97f43916d2c4a868f588197045f87298cff4eb2b27419b6df1bec9566,12207087,1617990526,2021/4/9 17:48,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1,0,1877.13,0.008076384,15.1604227,2066.55,,,Create Bid
0xfd4c1e1a59f701dabf3a23bbfc714cfc29a98ab0b627886714cb169d2649c43d,12207112,1617990864,2021/4/9 17:54,0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.23,0,2308.8699,0.007739868,14.52873842,2066.55,,,Create Bid
0x1930f1738e3ab4df42cdb56c2c75f369b047bf85af3a6bc094e6187be1eb09ea,12207168,1617991498,2021/4/9 18:04,0x286363c05ba757e8739d0f88ee677d3d98521428,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,2,0,3754.26,0.00729118,13.68649271,2066.55,,,Create Bid
0xdc88bc87a47f356a400a5f34f0185bc2771cd4dfca489389d36d3bf68811b9c5,12207244,1617992732,2021/4/9 18:25,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,2.5,0,4692.825,0.007795954,14.63401913,2066.55,,,Create Bid
0x5bf4aae241bd40e43ac0e148815e3ae6a55ab92594972a2877d662d0f0ef89aa,12207426,1617994941,2021/4/9 19:02,0x7137f0420565e1bcd6abec57e3c4aac05ddcad01,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,3,0,5631.39,0.0056086,10.52807132,2066.55,,,Create Bid
0x0a9f00afc6f80b148c58fda3c8d47d878c35978cb37ac3cbe8b5c9733a8e126f,12208072,1618003690,2021/4/9 21:28,0x286363c05ba757e8739d0f88ee677d3d98521428,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,3.33,0,6250.8429,0.00701075,13.16008915,2066.55,,,Create Bid
0x79616369f5b9c28814167c74e5ee43caf625e1c4dfd245d5de3a04909a12ee0c,12208783,1618013202,2021/4/10 0:06,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,4,0,7508.52,0.006057288,11.37031702,2133.82,,,Create Bid
0x552a5d03c93acd1d43c84b34e716a875d3d0ca4a68313b7b986ae16c2bba0a78,12209170,1618017795,2021/4/10 1:23,0x286363c05ba757e8739d0f88ee677d3d98521428,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,5,0,9385.65,0.005496428,10.31750989,2133.82,,,Create Bid
0x178342c2da094c9491b103305e662a19c440fa1faacb6a59e67691c07988170d,12209444,1618021867,2021/4/10 2:31,0x94b35d942adabb3c493c58227f5e36e074fdce29,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,5.5,0,10324.215,0.007878396,14.78877348,2133.82,,,Create Bid
0x8008bf3f1728c04a80587f4fa5a5d6a8199b60eb3e0d84bf5d5c181debfdd3c8,12209445,1618021875,2021/4/10 2:31,0x8a286b1bbfddf7296c497e99d5900005a09831d2,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,8.888,0,16683.93144,0.006789512,12.74479666,2133.82,,,Create Bid
0x73a2a53c4bd4e0da0eadbd74c3eef4493fc045c6809336f16de830917d35dea9,12209453,1618021935,2021/4/10 2:32,0x94b35d942adabb3c493c58227f5e36e074fdce29,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,9.78,0,18358.3314,0.0064052,12.02339308,2133.82,,,Create Bid
0x5fd03b85bc643d610caa3a6015a588f794b07a8d53d14456082d41624e049f42,12209465,1618022051,2021/4/10 2:34,0x286363c05ba757e8739d0f88ee677d3d98521428,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,10.76,0,20197.9188,0.006469252,12.14362701,2133.82,,,Create Bid
0xd6c7ff8d839ffb3446306419732f651aacebdd48c63bcda1fe4da9ba1d1b9be2,12209508,1618022534,2021/4/10 2:42,0x94b35d942adabb3c493c58227f5e36e074fdce29,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,11.84,0,22225.2192,0.00576468,10.82105377,2133.82,,,Create Bid
0x14f663178678d0af5c26fa9adfd1e455dce9d9630f071bfb4d429560ca746720,12209599,1618023803,2021/4/10 3:03,0xd1d43e08815a1806881454812cb26fe689205682,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0,0,0,0.01377854,25.86410992,2133.82,Error(1),Bad instruction,End Auction
0xfd0cea0e2e157af9d7b5d228bee33897671d21b06e71af0c8075588b2a466007,12225366,1618232270,2021/4/12 12:57,0x9c3dcdd0555556d63c93418647e036d21cd7ebdb,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.26,0,488.0538,0.00852397,16.00059981,2137.79,,,Create Bid
0xa0d485b9794d86ff645a16ecf5d59a1d8237bc399095898d7c6b2068b84949a8,12225394,1618232636,2021/4/12 13:03,0x6ab075abfa7cdd7b19fa83663b1f2a83e4a957e3,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.29,0,544.3677,0.004542966,8.527737909,2137.79,,,Create Bid
0x4c85de8afc2a41ba837b9e55cb999ad53c855d62b821457d0cfac0b259fd7f02,12225423,1618233071,2021/4/12 13:11,0x34a4dd196ab83166c8c9935d5a6f60f2a02a905a,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.32,0,600.6816,0.005832944,10.94919417,2137.79,,,Create Bid
0xeb2bbbd595927cadf76decf727125fb4a418fc62d5f48ee8bf0566816084a480,12225453,1618233393,2021/4/12 13:16,0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.69,0,1295.2197,0.004599052,8.633018634,2137.79,,,Create Bid
0x7182c58735fee05e1d92e8b0b1549691ad1da54a3c401ba7491936f00a5e8246,12225764,1618237631,2021/4/12 14:27,0xbe40dcadb6bf4de1c7810eca3504e5f3bea9cf35,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.76,0,1426.6188,0.00616946,11.58087845,2137.79,,,Create Bid
0x2792fde2bd208fb597d1bdeb4eb9a008e75074bc7f66a5e784d3af5154542fc4,12226003,1618240703,2021/4/12 15:18,0x9a52b0859bcc4feea3ee61c17f67a8c187f40a3c,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.84,0,1576.7892,0.006898578,12.94952772,2137.79,,,Create Bid
0xba085866d2982626a5e8445577f5d1643512dfade3bd409d34cf3454fc2cd17e,12226018,1618240903,2021/4/12 15:21,0xe19558d2b3fabb5c045ddf3b44dc15de18e9cd20,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,0.95,0,1783.2735,0.006898578,12.94952772,2137.79,,,Create Bid
0x2818de61c347072a2c91545cd0552f5cdf4cdaa3328919af127f5f446b353201,12226238,1618244334,2021/4/12 16:18,0x8146dd07419fcb6ebecfb326f6e9a99c589410f7,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.05,0,1970.9865,0.010549777,19.80330215,2137.79,,,Create Bid
0x370a892099915380f1ed1c2d28bcc2227e50141778baba40df1763db29298b1d,12226254,1618244543,2021/4/12 16:22,0x575631cf31bdebe11961153a7a4ea82c67d9f686,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.045,0,1961.60085,0.005520996,10.36362722,2137.79,Error(0),Reverted,Create Bid
0x24a554f2ebb2e679e0c8711c086a97eef7759857a68c663e9fa8a426924c71d9,12226363,1618246037,2021/4/12 16:47,0x575631cf31bdebe11961153a7a4ea82c67d9f686,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.16,0,2177.4708,0.009198104,17.26603696,2137.79,,,Create Bid
0x13bba993a6572457505a28618dcaa7570d773bd7a50d82e9922819b1db033005,12226384,1618246265,2021/4/12 16:51,0x26a7770431cdea6b75012c3266fdce110c4e5b09,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.28,0,2402.7264,0.011048942,20.7403005,2137.79,,,Create Bid
0xa940c0f4fe7baa5c2cfc68f0abe9128001b2c1f3568873a2c513459a7ad6e641,12226947,1618253294,2021/4/12 18:48,0x173214e11833b79161af7c1a0dc4b6133f26a9fb,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.41,0,2646.7533,0.00616946,11.58087845,2137.79,,,Create Bid
0x7785bc8860167798ec1b00f90bf2a03f3fd76453f2e9956f1c916b6211c87ea9,12228130,1618268604,2021/4/12 23:03,0xecd7499907705c60408dfb46fb490c920217a940,0x835f86ff1670917a786b72d1fd8dcc385e27dd77,,1.56,0,2928.3228,0.004935568,9.26470276,2137.79,,,Create Bid
